Kentucky,$23075.00,$8980.00,%38.92
California,$270765.00,$85443.00,%31.56
Florida,$47223.00,$3237.00,%6.85
North Carolina,$31122.00,$4552.00,%14.63
Washington,$64393.00,$22823.00,%35.44
Texas,$118878.00,$-3278.00,%-2.76
Wisconsin,$17987.00,$8711.00,%48.43
Utah,$4893.00,$2667.00,%54.51
Nebraska,$3651.00,$1722.00,%47.17
Pennsylvania,$70294.00,$-2097.00,%-2.98
Illinois,$60181.00,$-6082.00,%-10.11
Minnesota,$12563.00,$5825.00,%46.37
Michigan,$40092.00,$17269.00,%43.07
Delaware,$11738.00,$5374.00,%45.78
Indiana,$20688.00,$10677.00,%51.61
New York,$153499.00,$57648.00,%37.56
Arizona,$29997.00,$-1829.00,%-6.10
Virginia,$29462.00,$15395.00,%52.25
Tennessee,$19658.00,$2629.00,%13.37
Alabama,$9671.00,$4497.00,%46.50
South Carolina,$6794.00,$2036.00,%29.97
Oregon,$15945.00,$-849.00,%-5.32
Colorado,$24923.00,$-1032.00,%-4.14
Iowa,$1986.00,$1278.00,%64.35
Ohio,$52648.00,$603.00,%1.15
Missouri,$8624.00,$4919.00,%57.04
Oklahoma,$11124.00,$5487.00,%49.33
New Mexico,$4779.00,$1153.00,%24.13
Louisiana,$6050.00,$2986.00,%49.36
Connecticut,$11211.00,$3121.00,%27.84
New Jersey,$15110.00,$7379.00,%48.84
Massachusetts,$20176.00,$7761.00,%38.47
Georgia,$22669.00,$11401.00,%50.29
Nevada,$4002.00,$3483.00,%87.03
Rhode Island,$8263.00,$3884.00,%47.00
Mississippi,$8344.00,$3213.00,%38.51
Arkansas,$8818.00,$3801.00,%43.11
Montana,$1467.00,$521.00,%35.51
New Hampshire,$3994.00,$1598.00,%40.01
Maryland,$15449.00,$6576.00,%42.57
District of Columbia,$220.00,$741.00,%336.82
Kansas,$2916.00,$836.00,%28.67
Vermont,$1671.00,$1754.00,%104.97
Maine,$1270.00,$455.00,%35.83
South Dakota,$1317.00,$395.00,%29.99
Idaho,$3253.00,$696.00,%21.40
North Dakota,$920.00,$230.00,%25.00
Wyoming,$1.00,$603.00,%60300.00
West Virginia,$1209.00,$185.00,%15.30
